filename,commit_count
zsyscall_solaris_amd64.go,5
zsysctl_openbsd_amd64.go,5
zsysnum_freebsd_386.go,5
zsysnum_freebsd_amd64.go,5
zsysnum_freebsd_arm.go,5
ztypes_dragonfly_amd64.go,5
ztypes_freebsd_386.go,5
ztypes_freebsd_amd64.go,5
ztypes_freebsd_arm.go,5
ztypes_openbsd_386.go,5
ztypes_openbsd_amd64.go,5
ztypes_openbsd_arm.go,5
cfg.go,5
whitelist.go,5
shadow.go,5
gcexportdata.go,5
bexport.go,5
iimport.go,5
static.go,5
concrete.go,5
syntax.go,5
import_tracker.go,5
tls_config.go,5
marshal.go,5
basepath.go,5
scannerc.go,5
callee.go,5
fastwalk_dirent_namlen_linux.go,5
require.go,5
require_forward.go,5
requirements.go,5
appendCombine_checker.go,5
assignOp_checker.go,5
caseOrder_checker.go,5
astset.go,5
coerce.go,5
lintutil.go,5
rangeValCopy_checker.go,5
typeSwitchVar_checker.go,5
underef_checker.go,5
walker.go,5
zerrors_aix_ppc.go,5
zerrors_aix_ppc64.go,5
zsyscall_linux_riscv64.go,5
zsysnum_linux_riscv64.go,5
commentedOutCode_checker.go,5
lintdsl.go,5
ssrf.go,5
table_marshal.go,5
table_unmarshal.go,5
mod_version.go,5
linecache.go,5
nilness.go,5
atomicalign.go,5
stdmethods.go,5
renameio_test.go,5
umask_test.go,5
checks.go,5
changelog.go,5
adapters.go,5
severity_rules_test.go,5
go-header_bad.go,5
exhaustive_generated.go,5
goconst_calls_enabled.go,5
predeclared_custom.go,5
forbidigo_include_godoc_examples_test.go,5
exhaustivestruct_custom.go,5
govet_ifaceassert.go,5
revive_default.go,5
linters_settings_gocritic.go,5
errorlint_comparison.go,5
ireturn_allow.go,5
ireturn_reject_stdlib.go,5
nlreturn-block-size.go,5
tenv_all.go,5
tenv_all_test.go,5
exhaustive_ignore_enum_members.go,5
errchkjson_check_error_free_encoding.go,5
html_test.go,5
testableexamples.go,5
musttag_custom.go,5
gosec_test.go,5
ginkgolinter_suppress_focused_containers.go,5
perfsprint_custom.go,5
misspell_test.go,5
exclusions.go,5
configuration_file_test.go,5
config_verify_test.go,5
invalid_issue_test.go,5
goheader_1.go,5
recvcheck.go,5
iface.go,5
linters_exclusions.go,5
exclusion_paths.go,5
exclusion_rules_test.go,5
migrate_linters_settings.go,5
thanks_test.go,5
wsl_v5.go,5
path_resolver_test.go,4
revgrep.go,4
mixpanel.go,4
connect.go,4
error_func.go,4
error_windows.go,4
guid.go,4
iconnectionpoint.go,4
iconnectionpoint_func.go,4
iconnectionpoint_windows.go,4
iconnectionpointcontainer.go,4
iconnectionpointcontainer_func.go,4
iconnectionpointcontainer_windows.go,4
idispatch_func.go,4
ienumvariant.go,4
ienumvariant_func.go,4
ienumvariant_windows.go,4
iinspectable.go,4
iinspectable_func.go,4
iinspectable_windows.go,4
iprovideclassinfo.go,4
iprovideclassinfo_func.go,4
iprovideclassinfo_windows.go,4
itypeinfo.go,4
itypeinfo_func.go,4
itypeinfo_windows.go,4
iunknown_func.go,4
iunknown_windows.go,4
ole.go,4
connection.go,4
connection_func.go,4
connection_windows.go,4
go-get.go,4
oleutil.go,4
safearray.go,4
safearrayslices.go,4
variables.go,4
variant_386.go,4
variant_amd64.go,4
variant_s390x.go,4
vt_string.go,4
winrt.go,4
winrt_doc.go,4
pointer_unsafe_gogo.go,4
rollbar.go,4
docker.go,4
colorable_windows.go,4
options.go,4
cpu_darwin_cgo.go,4
cpu_darwin_nocgo.go,4
cpu_freebsd_386.go,4
cpu_freebsd_amd64.go,4
host_darwin_386.go,4
host_darwin_amd64.go,4
host_fallback.go,4
host_freebsd.go,4
host_freebsd_386.go,4
host_freebsd_amd64.go,4
host_freebsd_arm.go,4
host_linux_386.go,4
host_linux_amd64.go,4
host_linux_arm.go,4
host_linux_arm64.go,4
host_linux_mips.go,4
host_linux_mips64.go,4
host_linux_mips64le.go,4
